"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.055032	0	0	1	0.315	0.315	2.15	0.5
0.054929	0	0	1	0.316	0.316	2.15	0.5
0.054825	0	0	1	0.317	0.317	2.15	0.5
0.054722	0	0	1	0.318	0.318	2.15	0.5
0.054618	0	0	1	0.319	0.319	2.15	0.5
0.054515	0	0	1	0.32	0.32	2.15	0.5
0.054411	0	0	1	0.321	0.321	2.15	0.5
0.054308	0	0	1	0.322	0.322	2.15	0.5
0.054204	0	0	1	0.323	0.323	2.15	0.5
0.054101	0	0	1	0.324	0.324	2.15	0.5
0.053995	0	0	1	0.325	0.325	2.15	0.5
0.053889	0	0	1	0.326	0.326	2.15	0.5
0.053782	0	0	1	0.327	0.327	2.15	0.5
0.053675	0	0	1	0.328	0.328	2.15	0.5
0.053568	0	0	1	0.329	0.329	2.15	0.5
0.053468	0	0	1	0.33	0.33	2.15	0.5
0.053379	0	0	1	0.331	0.331	2.15	0.5
0.053289	0	0	1	0.332	0.332	2.15	0.5
0.053209	0	0	1	0.333	0.333	2.15	0.5
0.053134	0	0	1	0.334	0.334	2.15	0.5
0.053058	0	0	1	0.335	0.335	2.15	0.5
0.052983	0	0	1	0.336	0.336	2.15	0.5
0.052907	0	0	1	0.337	0.337	2.15	0.5
0.052832	0	0	1	0.338	0.338	2.15	0.5
0.052756	0	0	1	0.339	0.339	2.15	0.5
0.052681	0	0	1	0.34	0.34	2.15	0.5
0.052606	0	0	1	0.341	0.341	2.15	0.5
0.05253	0	0	1	0.342	0.342	2.15	0.5
0.052455	0	0	1	0.343	0.343	2.15	0.5
0.052379	0	0	1	0.344	0.344	2.15	0.5
0.052304	0	0	1	0.345	0.345	2.15	0.5
0.052228	0	0	1	0.346	0.346	2.15	0.5
0.052153	0	0	1	0.347	0.347	2.15	0.5
0.052077	0	0	1	0.348	0.348	2.15	0.5
0.052002	0	0	1	0.349	0.349	2.15	0.5
0.051927	0	0	1	0.35	0.35	2.15	0.5
0.051851	0	0	1	0.351	0.351	2.15	0.5
0.051776	0	0	1	0.352	0.352	2.15	0.5
0.0517	0	0	1	0.353	0.353	2.15	0.5
0.051625	0	0	1	0.354	0.354	2.15	0.5
0.051549	0	0	1	0.355	0.355	2.15	0.5
0.051474	0	0	1	0.356	0.356	2.15	0.5
0.051398	0	0	1	0.357	0.357	2.15	0.5
0.051323	0	0	1	0.358	0.358	2.15	0.5
0.051248	0	0	1	0.359	0.359	2.15	0.5
0.051172	0	0	1	0.36	0.36	2.15	0.5
0.051097	0	0	1	0.361	0.361	2.15	0.5
0.051021	0	0	1	0.362	0.362	2.15	0.5
0.050946	0	0	1	0.363	0.363	2.15	0.5
0.05087	0	0	1	0.364	0.364	2.15	0.5
0.050795	0	0	1	0.365	0.365	2.15	0.5
0.050719	0	0	1	0.366	0.366	2.15	0.5
0.050644	0	0	1	0.367	0.367	2.15	0.5
0.050576	0	0	1	0.368	0.368	2.15	0.5
0.050509	0	0	1	0.369	0.369	2.15	0.5
0.050443	0	0	1	0.37	0.37	2.15	0.5
0.050377	0	0	1	0.371	0.371	2.15	0.5
0.05031	0	0	1	0.372	0.372	2.15	0.5
0.050244	0	0	1	0.373	0.373	2.15	0.5
0.050177	0	0	1	0.374	0.374	2.15	0.5
0.050111	0	0	1	0.375	0.375	2.15	0.5
0.050044	0	0	1	0.376	0.376	2.15	0.5
0.04998	0	0	1	0.377	0.377	2.15	0.5
0.049926	0	0	1	0.378	0.378	2.15	0.5
0.049874	0	0	1	0.379	0.379	2.15	0.5
0.049836	0	0	1	0.38	0.38	2.15	0.5
0.049796	0	0	1	0.381	0.381	2.15	0.5
0.049752	0	0	1	0.382	0.382	2.15	0.5
0.049708	0	0	1	0.383	0.383	2.15	0.5
0.049652	0	0	1	0.384	0.384	2.15	0.5
0.049589	0	0	1	0.385	0.385	2.15	0.5
0.049527	0	0	1	0.386	0.386	2.15	0.5
0.049464	0	0	1	0.387	0.387	2.15	0.5
0.049401	0	0	1	0.388	0.388	2.15	0.5
0.049338	0	0	1	0.389	0.389	2.15	0.5
0.049275	0	0	1	0.39	0.39	2.15	0.5
0.049213	0	0	1	0.391	0.391	2.15	0.5
0.04915	0	0	1	0.392	0.392	2.15	0.5
0.049087	0	0	1	0.393	0.393	2.15	0.5
0.049024	0	0	1	0.394	0.394	2.15	0.5
0.048961	0	0	1	0.395	0.395	2.15	0.5
0.048899	0	0	1	0.396	0.396	2.15	0.5
0.048836	0	0	1	0.397	0.397	2.15	0.5
0.048773	0	0	1	0.398	0.398	2.15	0.5
0.04871	0	0	1	0.399	0.399	2.15	0.5
0.048647	0	0	1	0.4	0.4	2.15	0.5
0.048585	0	0	1	0.401	0.401	2.15	0.5
0.048522	0	0	1	0.402	0.402	2.15	0.5
0.048459	0	0	1	0.403	0.403	2.15	0.5
0.048396	0	0	1	0.404	0.404	2.15	0.5
0.048333	0	0	1	0.405	0.405	2.15	0.5
0.048288	0	0	1	0.406	0.406	2.15	0.5
0.048273	0	0	1	0.407	0.407	2.15	0.5
0.048258	0	0	1	0.408	0.408	2.15	0.5
0.048243	0	0	1	0.409	0.409	2.15	0.5
0.048228	0	0	1	0.41	0.41	2.15	0.5
0.048213	0	0	1	0.411	0.411	2.15	0.5
0.048198	0	0	1	0.412	0.412	2.15	0.5
0.048183	0	0	1	0.413	0.413	2.15	0.5
0.048168	0	0	1	0.414	0.414	2.15	0.5
0.048154	0	0	1	0.415	0.415	2.15	0.5
0.048139	0	0	1	0.416	0.416	2.15	0.5
0.048124	0	0	1	0.417	0.417	2.15	0.5
0.048109	0	0	1	0.418	0.418	2.15	0.5
0.048094	0	0	1	0.419	0.419	2.15	0.5
0.048079	0	0	1	0.42	0.42	2.15	0.5
0.048064	0	0	1	0.421	0.421	2.15	0.5
0.048049	0	0	1	0.422	0.422	2.15	0.5
0.048034	0	0	1	0.423	0.423	2.15	0.5
0.048019	0	0	1	0.424	0.424	2.15	0.5
0.048004	0	0	1	0.425	0.425	2.15	0.5
0.047989	0	0	1	0.426	0.426	2.15	0.5
0.047974	0	0	1	0.427	0.427	2.15	0.5
0.047959	0	0	1	0.428	0.428	2.15	0.5
0.047944	0	0	1	0.429	0.429	2.15	0.5
0.047929	0	0	1	0.43	0.43	2.15	0.5
0.047914	0	0	1	0.431	0.431	2.15	0.5
0.047899	0	0	1	0.432	0.432	2.15	0.5
0.047884	0	0	1	0.433	0.433	2.15	0.5
0.047869	0	0	1	0.434	0.434	2.15	0.5
0.047855	0	0	1	0.435	0.435	2.15	0.5
0.04784	0	0	1	0.436	0.436	2.15	0.5
0.047825	0	0	1	0.437	0.437	2.15	0.5
0.04781	0	0	1	0.438	0.438	2.15	0.5
0.047795	0	0	1	0.439	0.439	2.15	0.5
0.04778	0	0	1	0.44	0.44	2.15	0.5
0.047765	0	0	1	0.441	0.441	2.15	0.5
0.04775	0	0	1	0.442	0.442	2.15	0.5
0.047735	0	0	1	0.443	0.443	2.15	0.5
0.04772	0	0	1	0.444	0.444	2.15	0.5
0.047705	0	0	1	0.445	0.445	2.15	0.5
0.04769	0	0	1	0.446	0.446	2.15	0.5
0.047675	0	0	1	0.447	0.447	2.15	0.5
0.04766	0	0	1	0.448	0.448	2.15	0.5
0.047645	0	0	1	0.449	0.449	2.15	0.5
0.04763	0	0	1	0.45	0.45	2.15	0.5
0.047611	0	0	1	0.451	0.451	2.15	0.5
0.047584	0	0	1	0.452	0.452	2.15	0.5
0.047557	0	0	1	0.453	0.453	2.15	0.5
0.04753	0	0	1	0.454	0.454	2.15	0.5
0.047503	0	0	1	0.455	0.455	2.15	0.5
0.047478	0	0	1	0.456	0.456	2.15	0.5
0.047454	0	0	1	0.457	0.457	2.15	0.5
0.04743	0	0	1	0.458	0.458	2.15	0.5
0.047406	0	0	1	0.459	0.459	2.15	0.5
0.047382	0	0	1	0.46	0.46	2.15	0.5
0.047358	0	0	1	0.461	0.461	2.15	0.5
0.047334	0	0	1	0.462	0.462	2.15	0.5
0.04731	0	0	1	0.463	0.463	2.15	0.5
0.047293	0	0	1	0.464	0.464	2.15	0.5
0.047281	0	0	1	0.465	0.465	2.15	0.5
0.047282	0	0	1	0.466	0.466	2.15	0.5
0.047284	0	0	1	0.467	0.467	2.15	0.5
0.047285	0	0	1	0.468	0.468	2.15	0.5
0.047287	0	0	1	0.469	0.469	2.15	0.5
0.047288	0	0	1	0.47	0.47	2.15	0.5
0.04729	0	0	1	0.471	0.471	2.15	0.5
0.047291	0	0	1	0.472	0.472	2.15	0.5
0.047292	0	0	1	0.473	0.473	2.15	0.5
0.047294	0	0	1	0.474	0.474	2.15	0.5
0.047295	0	0	1	0.475	0.475	2.15	0.5
0.047297	0	0	1	0.476	0.476	2.15	0.5
0.047298	0	0	1	0.477	0.477	2.15	0.5
0.0473	0	0	1	0.478	0.478	2.15	0.5
0.047301	0	0	1	0.479	0.479	2.15	0.5
0.047303	0	0	1	0.48	0.48	2.15	0.5
0.047304	0	0	1	0.481	0.481	2.15	0.5
0.047306	0	0	1	0.482	0.482	2.15	0.5
0.047307	0	0	1	0.483	0.483	2.15	0.5
0.047309	0	0	1	0.484	0.484	2.15	0.5
