"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.038645	38778	38778	1	0.33	0.33	2.15	0.5
0.03858	38943	38943	1	0.331	0.331	2.15	0.5
0.038515	39109	39109	1	0.332	0.332	2.15	0.5
0.03845	39275	39275	1	0.333	0.333	2.15	0.5
0.038385	39441	39441	1	0.334	0.334	2.15	0.5
0.038321	39607	39607	1	0.335	0.335	2.15	0.5
0.038256	39773	39773	1	0.336	0.336	2.15	0.5
0.038191	39938	39938	1	0.337	0.337	2.15	0.5
0.038126	40104	40104	1	0.338	0.338	2.15	0.5
0.038061	40270	40270	1	0.339	0.339	2.15	0.5
0.037996	40436	40436	1	0.34	0.34	2.15	0.5
0.037934	40450	40450	1	0.341	0.341	2.15	0.5
0.037871	40450	40450	1	0.342	0.342	2.15	0.5
0.037808	40450	40450	1	0.343	0.343	2.15	0.5
0.037757	40908	40908	1	0.344	0.344	2.15	0.5
0.037707	41458	41458	1	0.345	0.345	2.15	0.5
0.037658	42008	42008	1	0.346	0.346	2.15	0.5
0.037608	42558	42558	1	0.347	0.347	2.15	0.5
0.037558	43108	43108	1	0.348	0.348	2.15	0.5
0.037509	43659	43659	1	0.349	0.349	2.15	0.5
0.037459	44209	44209	1	0.35	0.35	2.15	0.5
0.037411	44557	44557	1	0.351	0.351	2.15	0.5
0.037363	44839	44839	1	0.352	0.352	2.15	0.5
0.037315	45122	45122	1	0.353	0.353	2.15	0.5
0.037267	45404	45404	1	0.354	0.354	2.15	0.5
0.037219	45687	45687	1	0.355	0.355	2.15	0.5
0.037171	45969	45969	1	0.356	0.356	2.15	0.5
0.037122	46252	46252	1	0.357	0.357	2.15	0.5
0.037074	46535	46535	1	0.358	0.358	2.15	0.5
0.037026	46817	46817	1	0.359	0.359	2.15	0.5
0.036978	47100	47100	1	0.36	0.36	2.15	0.5
0.03693	47382	47382	1	0.361	0.361	2.15	0.5
0.036882	47665	47665	1	0.362	0.362	2.15	0.5
0.036834	47948	47948	1	0.363	0.363	2.15	0.5
0.036786	48230	48230	1	0.364	0.364	2.15	0.5
0.036738	48513	48513	1	0.365	0.365	2.15	0.5
0.03669	48795	48795	1	0.366	0.366	2.15	0.5
0.036642	49078	49078	1	0.367	0.367	2.15	0.5
0.036594	49360	49360	1	0.368	0.368	2.15	0.5
0.036544	49590	49590	1	0.369	0.369	2.15	0.5
0.036493	49758	49758	1	0.37	0.37	2.15	0.5
0.03645	50149	50149	1	0.371	0.371	2.15	0.5
0.036409	50598	50598	1	0.372	0.372	2.15	0.5
0.036368	51047	51047	1	0.373	0.373	2.15	0.5
0.036328	51496	51496	1	0.374	0.374	2.15	0.5
0.036287	51945	51945	1	0.375	0.375	2.15	0.5
0.036246	52394	52394	1	0.376	0.376	2.15	0.5
0.036206	52982	52982	1	0.377	0.377	2.15	0.5
0.036165	53679	53679	1	0.378	0.378	2.15	0.5
0.036125	54375	54375	1	0.379	0.379	2.15	0.5
0.036084	55072	55072	1	0.38	0.38	2.15	0.5
0.036044	55768	55768	1	0.381	0.381	2.15	0.5
0.036003	56465	56465	1	0.382	0.382	2.15	0.5
0.035964	57036	57036	1	0.383	0.383	2.15	0.5
0.035926	57607	57607	1	0.384	0.384	2.15	0.5
0.035887	58178	58178	1	0.385	0.385	2.15	0.5
0.035849	58749	58749	1	0.386	0.386	2.15	0.5
0.03581	59320	59320	1	0.387	0.387	2.15	0.5
0.035771	59891	59891	1	0.388	0.388	2.15	0.5
0.035733	60462	60462	1	0.389	0.389	2.15	0.5
0.035694	61032	61032	1	0.39	0.39	2.15	0.5
0.035655	61603	61603	1	0.391	0.391	2.15	0.5
0.035617	62174	62174	1	0.392	0.392	2.15	0.5
0.035578	62745	62745	1	0.393	0.393	2.15	0.5
0.035539	63316	63316	1	0.394	0.394	2.15	0.5
0.035505	63237	63237	1	0.395	0.395	2.15	0.5
0.035471	62986	62986	1	0.396	0.396	2.15	0.5
0.035438	62736	62736	1	0.397	0.397	2.15	0.5
0.035405	62485	62485	1	0.398	0.398	2.15	0.5
0.035371	62235	62235	1	0.399	0.399	2.15	0.5
0.035338	61984	61984	1	0.4	0.4	2.15	0.5
0.035304	61734	61734	1	0.401	0.401	2.15	0.5
0.035271	61483	61483	1	0.402	0.402	2.15	0.5
0.035238	61233	61233	1	0.403	0.403	2.15	0.5
0.035205	60953	60953	1	0.404	0.404	2.15	0.5
0.035173	60569	60569	1	0.405	0.405	2.15	0.5
0.035142	60184	60184	1	0.406	0.406	2.15	0.5
0.035111	59799	59799	1	0.407	0.407	2.15	0.5
0.035079	59415	59415	1	0.408	0.408	2.15	0.5
0.035048	59030	59030	1	0.409	0.409	2.15	0.5
0.035017	58645	58645	1	0.41	0.41	2.15	0.5
0.034986	58307	58307	1	0.411	0.411	2.15	0.5
0.034959	58172	58172	1	0.412	0.412	2.15	0.5
0.034933	58036	58036	1	0.413	0.413	2.15	0.5
0.034906	57900	57900	1	0.414	0.414	2.15	0.5
0.034879	57764	57764	1	0.415	0.415	2.15	0.5
0.034852	57628	57628	1	0.416	0.416	2.15	0.5
0.034826	57493	57493	1	0.417	0.417	2.15	0.5
0.034799	57357	57357	1	0.418	0.418	2.15	0.5
0.034772	57221	57221	1	0.419	0.419	2.15	0.5
0.034745	57085	57085	1	0.42	0.42	2.15	0.5
0.034719	56949	56949	1	0.421	0.421	2.15	0.5
0.034692	56814	56814	1	0.422	0.422	2.15	0.5
0.034666	56700	56700	1	0.423	0.423	2.15	0.5
0.034642	56646	56646	1	0.424	0.424	2.15	0.5
0.034618	56592	56592	1	0.425	0.425	2.15	0.5
0.034594	56539	56539	1	0.426	0.426	2.15	0.5
0.03457	56296	56296	1	0.427	0.427	2.15	0.5
0.034546	55970	55970	1	0.428	0.428	2.15	0.5
0.034522	55645	55645	1	0.429	0.429	2.15	0.5
0.034498	55320	55320	1	0.43	0.43	2.15	0.5
0.034474	54994	54994	1	0.431	0.431	2.15	0.5
0.03445	54669	54669	1	0.432	0.432	2.15	0.5
0.034426	54344	54344	1	0.433	0.433	2.15	0.5
0.034402	54019	54019	1	0.434	0.434	2.15	0.5
0.034378	53693	53693	1	0.435	0.435	2.15	0.5
0.034354	53368	53368	1	0.436	0.436	2.15	0.5
0.03433	53043	53043	1	0.437	0.437	2.15	0.5
