time,integral1,integral2,integral3,integral4,integral5,integral6,integral7,integral8,volume1,volume2,volume3,volume4,volume5,volume6,volume7,volume8
0.35,0.012147965580956,0.0013904946628143,0.0079070534791346,0.0060415735552984,0.0008852241420394,0.00091707322766412,0.00080062632964249,0.00095268815966784,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.36,0.012237275245213,0.0014071207081099,0.0079785838873,0.0061429485165719,0.00089613595263081,0.00092722552433072,0.00081099091217402,0.00096352414209278,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.37,0.012322293108388,0.0014234440951513,0.008046333872392,0.0062396999720604,0.00090622077204935,0.00093658135909237,0.00082081498337876,0.00097329404762845,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.38,0.012403390152744,0.0014394712723539,0.0081106641783962,0.0063321865909134,0.00091556687432933,0.00094522569092181,0.00083014315251465,0.00098212398952934,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.39,0.01248089280947,0.001455208229962,0.0081718886521986,0.0064207341093886,0.00092425268265473,0.00095323422439096,0.00083901506372145,0.00099012590969172,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.4,0.012555089025888,0.0014706605650542,0.0082302809211627,0.0065056374392969,0.00093234766655844,0.00096067418983122,0.00084746612832666,0.00099739863284197,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.41,0.012626233519393,0.001485833537257,0.0082860801960815,0.0065871630327803,0.00093991323650425,0.00096760513834724,0.00085552812007088,0.0010040290409457,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.42,0.012694552303076,0.0015007321165668,0.0083394962691697,0.0066655513459942,0.00094700360442518,0.00097407972187885,0.00086322966175742,0.0010100932802355,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.43,0.012760246569077,0.0015153610244366,0.008390713789273,0.0067410192884277,0.00095366659068706,0.00098014443730163,0.00087059662620173,0.0010156579412651,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.44,0.012823496012278,0.0015297247690825,0.0084398959000305,0.0068137625802808,0.00095994436671811,0.00098584032100378,0.00087765246953068,0.0010207811741075,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.45,0.012884461670794,0.0015438276758098,0.0084871873245049,0.0068839579682934,0.00096587412879383,0.00099120358633877,0.00088441851091891,0.0010255137169833,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.46,0.012943288352221,0.0015576739130345,0.0085327169741167,0.0069517652716975,0.00097148870274313,0.00099626620088301,0.00089091416968424,0.0010298998281827,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.47,0.013000106706573,0.001571267514571,0.008576600152236,0.0070173292456079,0.00097681708212479,0.0010010564036902,0.0008971571681834,0.0010339781190805,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.48,0.01305503499901,0.0015846123986787,0.0086189404146241,0.0070807812602336,0.00098188490410763,0.0010055991649437,0.00090316370702973,0.0010377822911898,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.49,0.013108180628042,0.0015977123842897,0.0086598311407877,0.0071422408017572,0.00098671486818775,0.0010099165917857,0.0009089486176814,0.001041341783313,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.5,0.013159641428274,0.0016105712047831,0.0086993568626459,0.0072018168054266,0.00099132710323382,0.0010140282848552,0.00091452549632476,0.0010446823364933,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.51,0.013209506790784,0.0016231925196265,0.0087375943899467,0.0072596088340646,0.00099573948834912,0.0010179516503656,0.00091990682212178,0.001047826485133,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.52,0.013257858629097,0.0016355799241628,0.0087746137656917,0.0073157081163857,0.00099996793281004,0.001021702172543,0.0009251040622402,0.00105079398265,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.53,0.013304772214328,0.0016477369577872,0.0088104790794616,0.0073701984596929,0.0010040266199788,0.0010252936510392,0.0009301277655908,0.0010536021696549,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.54,0.013350316899233,0.0016596671107299,0.008845249161928,0.0074231570510364,0.00100792821966,0.001028738407603,0.00093498764681833,0.0010562662920178,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.55,0.013394556747818,0.0016713738296323,0.0088789781799306,0.0074746551600312,0.0010116840729196,0.001032047465907,0.00093969266180475,0.0010587997754763,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.56,0.013437551084413,0.0016828605220852,0.0089117161482122,0.0075247587554195,0.001015304352939,0.0010352307080213,0.00094425107572084,0.0010612144626923,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.57,0.013479354973937,0.0016941305602725,0.0089435093711603,0.0075735290462674,0.0010187982050543,0.0010382970106196,0.00094867052449046,0.0010635208179443,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.58,0.013520019643195,0.001705187283853,0.0089744008256162,0.0076210229574846,0.0010221738687418,0.0010412543636309,0.00095295807039698,0.0010657281039684,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
